Timestep,formula,C_cout,H_count,C/H,H/C
146.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
146.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
147.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
147.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
147.4094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
147.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
147.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
148.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
148.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
148.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
148.6094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
148.8094, 'C40H20', 40, 20, 2.0, 0.5
149.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
149.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
149.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
149.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
149.8094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
150.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
150.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
150.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
150.6094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
150.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
151.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
151.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
151.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
151.6094, 'C40H20', 40, 20, 2.0, 0.5
151.8094, 'C39H21', 39, 21, 1.8571428571428572, 0.5384615384615384
152.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
152.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
152.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
152.6094, 'C39H20', 39, 20, 1.95, 0.5128205128205128
152.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
153.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
153.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
153.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
153.6094, 'C40H19', 40, 19, 2.1052631578947367, 0.475
153.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
154.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
154.2094, 'C40H20', 40, 20, 2.0, 0.5
154.4094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
154.6094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
154.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
155.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
155.2094, 'C40H20', 40, 20, 2.0, 0.5
155.4094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
155.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
155.8094, 'C38H20', 38, 20, 1.9, 0.5263157894736842
156.0094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
156.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
156.4094, 'C40H20', 40, 20, 2.0, 0.5
156.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
156.8094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
157.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
157.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
157.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
157.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
157.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
158.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
158.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
158.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
158.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
158.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
159.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
159.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
159.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
159.6094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
159.8094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
160.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
160.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
160.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
160.6094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
160.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
161.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
161.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
161.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
161.6094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
161.8094, 'C42H21', 42, 21, 2.0, 0.5
162.0094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
162.2094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
162.4094, 'C41H23', 41, 23, 1.7826086956521738, 0.5609756097560976
162.6094, 'C41H21', 41, 21, 1.9523809523809523, 0.5121951219512195
162.8094, 'C42H21', 42, 21, 2.0, 0.5
163.0094, 'C38H20', 38, 20, 1.9, 0.5263157894736842
163.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
163.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
163.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
163.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
164.0094, 'C41H19', 41, 19, 2.1578947368421053, 0.4634146341463415
164.2094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
164.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
164.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
164.8094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
165.0094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
165.2094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
165.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
165.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
165.8094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
166.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
166.2094, 'C41H22', 41, 22, 1.8636363636363635, 0.5365853658536586
166.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
166.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
166.8094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
167.0094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
167.2094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
167.4094, 'C42H21', 42, 21, 2.0, 0.5
