atom,type,x,y,z
C98,C,0.181117,0.244019,0.560896
H62,H,0.203819,0.254554,0.551376
C99,C,0.194704,0.173437,0.503350
H63,H,0.195524,0.186342,0.525655
H64,H,0.462389,0.399521,0.563669
H65,H,0.502951,0.249924,0.522977
H66,H,0.500346,0.147098,0.525487
H67,H,0.262932,0.021289,0.430295
H68,H,0.406813,0.487182,0.454131
C100,C,0.282803,0.494195,0.433387
C101,C,0.271051,0.471341,0.427348
H69,H,0.020545,0.002798,0.556392
C102,C,0.493681,0.430584,0.534807
C103,C,0.478315,0.414260,0.550059
C104,C,0.043671,0.010902,0.566498
H70,H,0.304027,0.037329,0.566611
C105,C,0.157275,0.234646,0.569764
C106,C,0.108808,0.019703,0.574165
C107,C,0.143949,0.026472,0.574670
C108,C,0.195780,0.011811,0.602123
C109,C,0.428208,0.095341,0.699095
H71,H,0.398822,0.054123,0.690722
C110,C,0.385338,0.090324,0.654826
C111,C,0.413560,0.141903,0.664715
C112,C,0.388154,0.127287,0.605685
H72,H,0.380342,0.108468,0.590813
C113,C,0.397256,0.121369,0.641787
H73,H,0.363613,0.081835,0.645459
C114,C,0.402538,0.076818,0.683592
C115,C,0.434898,0.128722,0.691210
C116,C,0.474526,0.159238,0.598842
C117,C,0.454992,0.498990,0.640993
H74,H,0.133365,0.230388,0.578370
H75,H,0.268524,0.274302,0.589911
C118,C,0.229720,0.309550,0.600834
O2,O,0.242525,0.277474,0.595578
C119,C,0.215447,0.339567,0.605845
C120,C,0.467501,0.177823,0.693989
C121,C,0.386433,0.159397,0.599640
C122,C,0.408682,0.184569,0.618248
C123,C,0.420138,0.174109,0.651239
C124,C,0.427763,0.207163,0.601924
H76,H,0.429116,0.209855,0.575286
C125,C,0.473453,0.281423,0.595949
C126,C,0.448212,0.228259,0.624608
C127,C,0.448348,0.190443,0.666431
C128,C,0.451431,0.224074,0.658357
C129,C,0.463034,0.259704,0.608024
H77,H,0.462870,0.242104,0.672186
C130,C,0.162482,0.004541,0.596162
H78,H,0.110544,0.473399,0.581044
C131,C,0.137604,0.448540,0.624535
C132,C,0.122929,0.462864,0.600426
H79,H,0.205973,0.342874,0.629078
H80,H,0.172583,0.429559,0.655529
H81,H,0.130653,0.416091,0.663034
C133,C,0.146901,0.432787,0.651124
C134,C,0.249619,0.033745,0.574964
H82,H,0.486271,0.303592,0.583293
H83,H,0.446158,0.475555,0.637864
C135,C,0.461019,0.146756,0.705417
H84,H,0.471494,0.165438,0.624359
H85,H,0.484752,0.192326,0.707059
H86,H,0.219773,0.358086,0.589999
C136,C,0.210838,0.034715,0.578384
H87,H,0.211736,-0.000719,0.619936
H88,H,0.375169,0.168147,0.578409
C137,C,0.315693,0.146880,0.817819
C138,C,0.288944,0.146798,0.816876
H89,H,0.263546,0.148755,0.815808
H90,H,0.341306,0.147263,0.820074
H91,H,0.443117,0.082399,0.715381
H92,H,0.490018,0.420600,0.803243
H93,H,0.475150,0.134405,0.722551
H94,H,0.497716,0.014201,0.791659
H95,H,0.035724,0.478396,0.849793
C139,C,0.382076,0.413180,0.755942
C140,C,0.428410,0.329923,0.801525
C141,C,0.404233,0.319443,0.795215
H96,H,0.383264,0.305362,0.790880
C142,C,0.497539,0.301373,0.733078
H97,H,0.486195,0.318745,0.717390
H98,H,0.058370,0.438395,0.809224
C143,C,0.108064,0.443264,0.824241
H99,H,0.090060,0.429398,0.763625
C144,C,0.125754,0.423252,0.800072
C145,C,0.173472,0.411047,0.835894
H100,H,0.172283,0.376315,0.726945
C146,C,0.130481,0.405872,0.739975
C147,C,0.159212,0.409914,0.803536
C148,C,0.174004,0.390722,0.778247
H101,H,0.194720,0.379169,0.787018
C149,C,0.161181,0.389473,0.745190
C150,C,0.112292,0.420433,0.767505
H102,H,0.119740,0.410515,0.719081
C151,C,0.073560,0.450878,0.825578
H103,H,0.195980,0.396811,0.836964
H104,H,0.393456,0.458925,0.779350
C152,C,0.385478,0.438353,0.765450
C153,C,0.497099,0.418850,0.778576
H105,H,0.485482,0.469043,0.761493
