x,y,z
0.681253,0.543142,0.297144
0.972298,0.588074,0.314355
0.945612,0.587055,0.320746
0.919925,0.587289,0.328391
0.847047,0.733607,0.387219
0.821475,0.734036,0.395689
0.785450,0.722142,0.400832
0.759305,0.714762,0.399781
0.733374,0.710717,0.398518
0.872095,0.734444,0.379943
0.901232,0.782087,0.407318
0.708328,0.989372,0.420085
0.879480,0.773297,0.418266
0.713367,0.524125,0.287256
0.933215,0.911326,0.315812
0.924254,0.909239,0.293234
0.996862,0.592459,0.311838
0.586029,0.664566,0.488250
0.589350,0.667260,0.511717
0.618617,0.656102,0.527720
0.636088,0.641652,0.516527
0.650816,0.611069,0.543812
0.621045,0.661755,0.563710
0.659531,0.618353,0.566051
0.509334,0.698948,0.567718
0.562737,0.680549,0.531598
0.535980,0.706575,0.490347
0.972496,0.897791,0.556229
0.509649,0.706669,0.533440
0.566061,0.683040,0.568373
0.539417,0.701213,0.515335
0.596945,0.729520,0.546064
0.580159,0.747188,0.539167
0.559756,0.766061,0.525382
0.535629,0.782966,0.510645
0.541667,0.797409,0.489191
0.511248,0.785973,0.520295
0.742691,0.812223,0.472076
0.721217,0.787865,0.468532
0.700743,0.790442,0.453293
0.726236,0.763600,0.475862
0.998781,0.978556,0.518046
0.857415,0.766300,0.431617
0.839210,0.765330,0.447632
0.672918,0.939209,0.474925
0.690770,0.937466,0.455999
0.773869,0.855764,0.477265
0.760053,0.835413,0.474196
0.702185,0.962675,0.436742
0.707270,0.917710,0.456947
0.698774,0.581752,0.561917
0.953788,0.883620,0.551012
0.993289,0.913977,0.562372
0.981472,0.974963,0.536563
0.712377,0.985788,0.496937
0.551798,0.528753,0.666041
0.586082,0.518653,0.705270
0.576317,0.537497,0.690622
0.588930,0.569589,0.690661
0.530022,0.553423,0.648708
0.546426,0.580819,0.662883
0.566579,0.598664,0.683148
0.610441,0.573494,0.703757
0.652358,0.648351,0.617734
0.612342,0.510076,0.632032
0.648643,0.646813,0.582658
0.566282,0.625004,0.687027
0.672768,0.623849,0.631688
0.677277,0.624252,0.657632
0.661466,0.724328,0.704579
0.692473,0.599781,0.614016
0.684236,0.596230,0.580227
0.713728,0.588351,0.628634
0.538930,0.693090,0.587481
0.538302,0.691627,0.622617
0.595455,0.670902,0.583980
0.625579,0.665849,0.635940
0.565508,0.681749,0.634854
0.629224,0.678850,0.657977
0.595817,0.670305,0.618854
0.562011,0.682373,0.661267
0.518230,0.702389,0.634767
0.865456,0.934594,0.692757
0.724014,0.735618,0.654689
0.740322,0.730285,0.694453
0.720840,0.732820,0.679712
0.692618,0.729097,0.692551
0.632503,0.968011,0.678259
0.646214,0.949595,0.687036
0.673354,0.906773,0.702570
0.660093,0.927045,0.694651
0.702807,0.988056,0.686453
0.569377,0.977401,0.697080
0.843813,0.927918,0.678132
0.885895,0.940900,0.709100
0.570272,0.733638,0.765137
0.557711,0.763157,0.764922
0.553098,0.788479,0.765566
0.586606,0.706847,0.768087
0.574163,0.681855,0.758472
0.613665,0.705258,0.773599
0.645876,0.706477,0.714603
0.503757,0.933632,0.806955
0.556777,0.965142,0.824051
0.529573,0.880372,0.839285
0.535566,0.935666,0.824378
0.580622,0.964383,0.834553
0.572948,0.904944,0.848688
0.551766,0.906299,0.834727
0.510277,0.991324,0.791520
0.976829,0.949823,0.792969
0.543387,0.990605,0.805583
0.974572,0.975165,0.797404
0.904457,0.947969,0.725774
0.574127,0.511555,0.971401
0.701123,0.606150,0.954940
0.697349,0.608611,0.979597
0.543045,0.853537,0.859074
0.539186,0.804985,0.878056
0.528397,0.824467,0.863697
0.540389,0.966849,0.932747
0.531473,0.998850,0.924638
0.538094,0.948566,0.915308
0.563564,0.859230,0.869691
0.561977,0.983159,0.987389
0.522205,0.909080,0.975520
0.540472,0.925369,0.982228
0.548435,0.957572,0.965874
0.918953,0.916126,0.994310
0.905441,0.924906,0.974409
0.882992,0.772027,0.992219
