Timestep	No_Moles	No_Specs
100.8027	137	46
101.0027	125	43
101.2027	140	43
101.4027	151	44
101.6027	142	41
101.8027	142	44
102.0027	140	41
102.2027	135	41
102.4027	165	47
102.6027	162	50
102.8027	162	46
103.0027	134	39
103.2027	144	43
103.4027	129	39
103.6027	131	46
103.8027	156	43
104.0027	160	48
104.2027	135	43
104.4027	155	45
104.6027	157	48
104.8027	141	42
105.0027	151	47
105.2027	139	46
105.4027	127	43
105.6027	148	44
105.8027	142	43
106.0027	142	47
106.2027	161	48
106.4027	150	52
106.6027	159	48
106.8027	147	45
107.0027	151	45
107.2027	146	44
107.4027	139	41
107.6027	138	41
107.8027	144	39
108.0027	139	39
108.2027	147	40
108.4027	182	51
108.6027	143	42
108.8027	150	42
109.0027	133	41
109.2027	150	43
109.4027	141	46
109.6027	132	41
109.8027	167	48
110.0027	141	41
110.2027	149	42
110.4027	158	41
110.6027	146	42
110.8027	148	47
111.0027	133	39
111.2027	136	40
111.4027	150	41
111.6027	132	42
111.8027	165	43
112.0027	152	44
112.2027	159	42
112.4027	138	39
112.6027	134	38
112.8027	163	44
113.0027	143	40
113.2027	161	46
113.4027	154	44
113.6027	162	44
113.8027	154	43
114.0027	145	42
114.2027	146	42
114.4027	163	42
114.6027	147	41
114.8027	151	45
115.0027	156	42
115.2027	141	40
115.4027	136	42
115.6027	166	50
115.8027	140	44
116.0027	150	46
116.2027	163	48
116.4027	163	43
116.6027	153	43
116.8027	150	47
117.0027	153	46
117.2027	149	47
117.4027	167	49
117.6027	131	42
117.8027	138	44
118.0027	148	43
118.2027	144	44
118.4027	164	44
118.6027	139	46
118.8027	151	49
119.0027	140	47
119.2027	138	45
119.4027	145	47
119.6027	138	44
119.8027	148	43
120.0027	159	46
120.2027	157	42
120.4027	159	46
120.6027	156	38
120.8027	162	44
121.0027	130	43
121.2027	159	44
121.4027	146	44
121.6027	141	39
121.8027	159	44
122.0027	154	41
122.2027	168	45
122.4027	145	44
122.6027	154	50
122.8027	172	45
123.0027	168	43
123.2027	142	41
123.4027	160	41
123.6027	143	44
123.8027	140	40
124.0027	165	46
124.2027	145	43
124.4027	146	43
124.6027	169	47
124.8027	147	44
125.0027	161	44
125.2027	150	44
125.4027	178	47
125.6027	172	47
125.8027	142	44
126.0027	140	42
126.2027	166	47
126.4027	156	42
126.6027	149	42
126.8027	162	44
127.0027	169	45
127.2027	155	42
127.4027	156	40
127.6027	148	42
127.8027	160	41
128.0027	138	44
128.2027	153	44
128.4027	155	44
128.6027	169	44
128.8027	150	41
129.0027	180	41
129.2027	158	46
129.4027	162	49
129.6027	149	42
129.8027	156	44
130.0027	158	45
130.2027	144	37
130.4027	152	42
130.6027	156	44
130.8027	143	39
131.0027	189	47
131.2027	165	47
131.4027	139	46
131.6027	154	45
131.8027	146	43
132.0027	147	44
132.2027	167	45
132.4027	156	44
132.6027	150	46
132.8027	140	44
133.0027	153	42
133.2027	151	44
133.4027	161	47
133.6027	180	47
133.8027	152	40
134.0027	149	44
134.2027	172	46
134.4027	151	41
134.6027	167	44
134.8027	144	41
135.0027	153	40
135.2027	146	40
135.4027	151	44
135.6027	150	41
135.8027	157	44
136.0027	168	43
136.2027	158	42
136.4027	147	42
136.6027	151	42
136.8027	171	47
137.0027	142	45
137.2027	151	46
137.4027	141	42
137.6027	177	47
137.8027	166	46
138.0027	169	44
138.2027	150	43
138.4027	171	44
138.6027	146	41
138.8027	143	45
139.0027	151	43
139.2027	173	48
139.4027	149	47
139.6027	142	43
139.8027	155	46
140.0027	144	44
140.2027	156	43
140.4027	139	47
140.6027	177	50
140.8027	168	44
141.0027	140	41
141.2027	166	43
141.4027	154	46
141.6027	144	43
141.8027	158	44
142.0027	145	40
142.2027	145	43
142.4027	148	43
142.6027	171	46
142.8027	165	44
143.0027	167	45
143.2027	142	38
143.4027	153	47
143.6027	140	40
143.8027	137	41
144.0027	140	42
144.2027	154	44
144.4027	159	42
144.6027	158	49
144.8027	147	42
145.0027	154	48
145.2027	162	48
145.4027	154	44
145.6027	154	42
145.8027	176	47
146.0027	156	39
146.2027	175	46
146.4027	157	43
146.6027	156	42
146.8027	137	44
147.0027	177	47
147.2027	140	39
147.4027	146	44
147.6027	160	39
147.8027	159	46
148.0027	164	44
148.2027	153	46
148.4027	150	44
148.6027	157	38
148.8027	162	44
149.0027	147	40
149.2027	168	40
149.4027	175	42
149.6027	164	43
149.8027	159	39
150.0027	159	40
150.2027	164	43
150.4027	152	42
150.6027	163	43
150.8027	170	46
151.0027	144	41
151.2027	153	38
151.4027	153	40
151.6027	157	42
151.8027	152	44
152.0027	137	40
152.2027	149	39
152.4027	150	42
152.6027	176	43
152.8027	167	46
153.0027	172	40
153.2027	150	42
153.4027	168	46
153.6027	160	44
153.8027	144	40
154.0027	167	41
154.2027	177	47
154.4027	163	45
154.6027	150	40
154.8027	142	41
155.0027	154	45
155.2027	165	43
155.4027	148	39
155.6027	175	39
155.8027	141	40
156.0027	167	40
156.2027	172	44
156.4027	167	47
156.6027	146	37
156.8027	151	42
157.0027	143	42
157.2027	144	42
157.4027	148	38
157.6027	152	41
157.8027	148	41
158.0027	141	41
158.2027	159	45
158.4027	155	40
158.6027	156	41
158.8027	165	43
159.0027	158	41
159.2027	146	42
159.4027	164	40
159.6027	164	42
159.8027	148	36
160.0027	153	39
160.2027	149	44
160.4027	164	41
160.6027	174	40
160.8027	154	45
161.0027	158	37
161.2027	146	40
161.4027	163	39
161.6027	161	44
161.8027	160	43
162.0027	159	43
162.2027	163	43
162.4027	165	44
162.6027	158	40
162.8027	174	42
163.0027	161	38
163.2027	142	43
163.4027	151	37
163.6027	161	40
163.8027	162	39
164.0027	172	44
164.2027	166	38
164.4027	151	39
164.6027	171	40
164.8027	152	40
165.0027	149	37
165.2027	151	42
165.4027	159	39
165.6027	148	36
165.8027	136	33
166.0027	166	42
166.2027	176	41
166.4027	179	40
166.6027	160	38
166.8027	144	38
167.0027	152	35
167.2027	164	42
167.4027	151	38
167.6027	155	41
167.8027	165	38
168.0027	162	43
168.2027	160	41
168.4027	171	42
168.6027	160	42
168.8027	151	36
169.0027	150	37
169.2027	169	39
169.4027	188	43
169.6027	158	38
169.8027	155	39
170.0027	155	38
170.2027	181	45
170.4027	155	39
170.6027	146	39
170.8027	165	40
171.0027	164	38
171.2027	154	40
171.4027	183	44
171.6027	154	36
171.8027	176	41
172.0027	171	39
172.2027	180	40
172.4027	158	39
172.6027	196	42
172.8027	157	44
173.0027	175	44
173.2027	178	40
173.4027	176	42
173.6027	187	42
173.8027	158	39
174.0027	162	39
174.2027	167	41
174.4027	165	42
174.6027	174	44
174.8027	163	40
175.0027	181	45
175.2027	164	41
175.4027	158	40
175.6027	158	41
175.8027	172	43
176.0027	166	41
176.2027	185	46
176.4027	159	38
176.6027	178	44
176.8027	180	45
177.0027	180	47
177.2027	163	40
177.4027	189	41
177.6027	161	38
177.8027	170	40
178.0027	165	42
178.2027	156	39
178.4027	164	39
178.6027	167	44
178.8027	157	37
179.0027	192	39
179.2027	161	36
179.4027	177	44
179.6027	173	37
179.8027	169	39
180.0027	177	36
180.2027	173	39
180.4027	170	37
180.6027	157	38
180.8027	183	39
181.0027	164	40
181.2027	171	35
181.4027	176	38
181.6027	168	38
181.8027	149	39
182.0027	165	42
182.2027	166	37
182.4027	191	44
182.6027	191	40
182.8027	169	38
183.0027	165	38
183.2027	184	41
183.4027	182	43
183.6027	150	32
183.8027	154	37
184.0027	169	41
184.2027	165	40
184.4027	146	37
184.6027	152	35
184.8027	175	38
185.0027	145	34
185.2027	176	38
185.4027	183	35
185.6027	178	35
185.8027	173	39
186.0027	161	35
186.2027	159	35
186.4027	153	38
186.6027	152	33
186.8027	181	38
187.0027	170	40
187.2027	147	34
187.4027	152	32
187.6027	161	34
187.8027	173	39
188.0027	169	35
188.2027	162	33
188.4027	156	36
188.6027	168	33
188.8027	169	35
189.0027	149	32
189.2027	161	33
189.4027	147	33
189.6027	161	37
189.8027	158	32
190.0027	155	34
190.2027	171	36
190.4027	175	42
190.6027	169	32
190.8027	156	30
191.0027	150	33
191.2027	175	31
191.4027	158	37
191.6027	170	36
191.8027	164	33
192.0027	170	35
192.2027	144	29
192.4027	164	34
192.6027	184	32
192.8027	172	33
193.0027	153	36
193.2027	151	31
193.4027	150	32
193.6027	158	31
193.8027	170	34
194.0027	170	35
194.2027	172	31
194.4027	188	38
194.6027	149	29
194.8027	169	32
195.0027	154	30
195.2027	166	32
195.4027	168	31
195.6027	176	36
195.8027	180	31
196.0027	166	32
196.2027	171	29
196.4027	165	33
196.6027	164	34
196.8027	171	33
197.0027	147	32
197.2027	169	32
197.4027	161	30
197.6027	153	30
197.8027	171	32
198.0027	152	32
198.2027	157	28
198.4027	146	26
198.6027	144	29
198.8027	164	27
199.0027	150	30
199.2027	184	36
199.4027	165	36
199.6027	178	30
199.8027	149	28
200.0027	178	34
200.2027	176	32
200.4027	164	32
200.6027	154	28
200.8027	157	29
201.0027	183	32
201.2027	158	26
201.4027	168	35
201.6027	172	33
201.8027	185	33
202.0027	174	30
202.2027	179	31
202.4027	162	30
202.6027	167	31
202.8027	154	35
203.0027	162	30
203.2027	157	32
203.4027	180	36
203.6027	165	34
203.8027	165	36
204.0027	154	33
204.2027	165	34
204.4027	170	35
204.6027	155	30
204.8027	185	37
205.0027	152	30
205.2027	161	30
205.4027	164	35
205.6027	176	32
205.8027	167	32
206.0027	176	34
206.2027	178	38
206.4027	198	34
206.6027	178	31
206.8027	166	34
207.0027	163	34
207.2027	176	38
207.4027	170	33
207.6027	172	36
207.8027	159	33
208.0027	188	40
208.2027	170	33
208.4027	172	32
208.6027	168	31
208.8027	163	33
209.0027	174	33
209.2027	174	32
209.4027	184	36
209.6027	189	31
209.8027	166	33
210.0027	170	31
210.2027	171	35
210.4027	181	33
210.6027	175	34
210.8027	205	34
211.0027	172	35
211.2027	176	30
211.4027	184	34
211.6027	170	34
211.8027	168	32
212.0027	177	34
212.2027	157	32
212.4027	172	34
212.6027	166	34
212.8027	195	37
213.0027	162	32
213.2027	172	33
213.4027	198	36
213.6027	163	32
213.8027	181	35
214.0027	181	35
214.2027	164	33
214.4027	169	34
214.6027	168	35
214.8027	164	33
215.0027	190	33
215.2027	189	35
215.4027	169	35
215.6027	194	36
215.8027	171	33
216.0027	193	33
216.2027	172	32
216.4027	180	34
216.6027	169	31
216.8027	167	32
217.0027	179	35
217.2027	160	31
217.4027	171	30
217.6027	172	34
217.8027	196	33
218.0027	170	36
218.2027	167	35
